region,unit_name,unit_type,population,migration_value,employment_rate,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,population_score,migration_score,employment_score,commuting_score,fiscal_score,urban_form_score,supplementary_score,total_score,final_grade
Incheon,옹진군,county,19425,230,79.0,107.4,10.1,50.5,0,0.036,0.0,0.0,100.0,75.4098,26.7857,0.0,0.0,35.3238,8
Gyeonggi,수원시,city,1186167,16100,62.8,91.3,42.9,52.8,100,0.191,100.0,100.0,70.0,34.4262,74.3535,100.0,50.8475,75.274,3
Gyeonggi,성남시,city,905493,12959,59.6,104.3,53.7,60.7,100,0.305,93.8462,93.8462,30.0,62.2951,96.4901,100.0,89.8305,77.5851,3
Gyeonggi,의정부시,city,461460,4271,59.0,83.5,22.1,46.0,100,0.102,66.1538,47.6923,26.0,8.1967,38.67,100.0,25.4237,43.5416,7
Gyeonggi,안양시,city,562666,6557,62.5,94.8,35.8,51.4,100,0.217,83.0769,73.8462,66.0,47.541,65.6404,100.0,61.0169,70.4776,4
Gyeonggi,부천시,city,756701,6643,58.6,90.2,28.1,48.0,100,0.194,92.3077,76.9231,20.0,32.7869,47.3522,100.0,52.5424,58.0267,5
Gyeonggi,광명시,city,302390,7329,60.5,84.5,35.9,57.5,100,0.275,41.5385,83.0769,38.0,9.8361,79.8954,100.0,86.4407,58.1573,5
Gyeonggi,평택시,city,615107,8758,64.7,107.3,41.6,55.3,93.5,0.092,86.1538,87.6923,90.0,73.7705,78.8793,76.4706,22.0339,77.3288,3
Gyeonggi,동두천시,city,86326,735,56.0,92.7,12.6,49.2,100,0.041,9.2308,6.1538,6.0,37.7049,26.7242,100.0,3.3898,28.0333,9
Gyeonggi,안산시,city,610783,5545,62.6,98.0,34.2,56.7,100,0.221,84.6154,63.0769,68.0,54.0984,73.7685,100.0,62.7119,71.9992,4
Gyeonggi,고양시,city,1058050,11130,59.9,86.3,32.3,51.1,100,0.149,96.9231,92.3077,34.0,18.0328,57.8509,100.0,40.678,61.2116,5
Gyeonggi,과천시,city,80197,1116,60.0,110.2,41.6,59.1,100,0.37,7.6923,10.7692,36.0,78.6885,86.915,100.0,94.9153,56.9899,6
Gyeonggi,구리시,city,185982,1729,62.0,87.5,27.1,56.7,100,0.16,21.5385,15.3846,56.0,21.3115,60.8374,100.0,44.0678,45.128,7
Gyeonggi,남양주시,city,728597,6168,60.0,85.8,28.0,52.0,95.85,0.184,90.7692,70.7692,36.0,13.1148,53.633,88.2353,49.1525,55.2498,6
Gyeonggi,오산시,city,250783,3001,63.1,86.5,34.8,55.2,100,0.217,30.7692,33.8462,72.0,19.6721,72.814,100.0,61.0169,54.6224,6
Gyeonggi,시흥시,city,514501,4546,63.6,95.7,34.1,49.8,100,0.231,76.9231,52.3077,78.0,50.8197,59.5135,100.0,67.7966,69.0355,4
Gyeonggi,군포시,city,250300,2285,60.9,86.3,28.6,53.0,100,0.214,29.2308,24.6154,40.0,18.0328,58.867,100.0,59.322,44.9715,7
Gyeonggi,의왕시,city,162209,1938,63.4,85.8,37.8,57.4,100,0.225,18.4615,18.4615,76.0,13.1148,80.7266,100.0,66.1017,51.7997,6
Gyeonggi,하남시,city,327824,4115,63.9,87.7,43.2,53.5,100,0.244,43.0769,44.6154,82.0,22.9508,77.0012,100.0,72.8814,61.7787,5
Gyeonggi,용인시,city,1090420,14832,58.4,90.0,47.9,57.2,96.74,0.268,98.4615,98.4615,16.0,29.5082,85.8682,94.1176,81.3559,67.4672,4
Gyeonggi,파주시,city,530201,6972,62.1,98.8,28.5,51.1,91.77,0.15,78.4615,80.0,58.0,55.7377,53.5406,58.8235,42.3729,61.7782,5
Gyeonggi,이천시,city,223229,2806,66.1,114.6,45.4,57.2,67.11,0.137,27.6923,30.7692,94.0,83.6066,85.0061,41.1765,35.5932,60.6668,5
Gyeonggi,안성시,city,197266,2218,62.4,109.4,28.5,58.1,66.44,0.094,23.0769,23.0769,64.0,77.0492,69.612,35.2941,23.7288,48.4355,7
Gyeonggi,김포시,city,484334,4736,61.1,94.1,33.4,53.0,95.43,0.165,72.3077,55.3846,44.0,45.9016,64.9015,82.3529,45.7627,58.3358,5
Gyeonggi,화성시,city,995253,14635,67.1,106.7,52.0,59.4,92.44,0.26,95.3846,96.9231,98.0,72.1311,92.9802,64.7059,76.2712,85.7244,2
Gyeonggi,광주시,city,397166,3290,63.2,87.8,31.7,51.9,92.89,0.196,55.3846,38.4615,74.0,24.5902,58.7747,70.5882,54.2373,53.3345,6
Gyeonggi,양주시,city,296830,2925,59.6,98.8,26.5,54.0,88.26,0.109,36.9231,32.3077,30.0,55.7377,55.5111,52.9412,28.8136,42.6135,7
Gyeonggi,포천시,city,140428,1124,64.1,122.8,19.6,52.8,53.65,0.104,16.9231,12.3077,84.0,86.8852,45.0431,23.5294,27.1186,46.6213,7
Gyeonggi,여주시,city,113621,982,63.8,105.1,21.1,58.3,68.4,0.115,10.7692,7.6923,80.0,63.9344,60.1601,47.0588,30.5085,45.9441,7
Gyeonggi,연천군,county,42684,449,59.4,106.4,15.3,65.0,62.36,0.071,1.5385,1.5385,28.0,70.4918,56.0345,29.4118,11.8644,31.0709,9
Gyeonggi,가평군,county,61963,551,62.3,105.7,17.1,57.7,34.04,0.082,4.6154,3.0769,62.0,68.8525,54.064,17.6471,16.9492,36.0259,8
Gyeonggi,양평군,county,126742,1058,59.7,95.0,17.3,60.0,29.72,0.087,13.8462,9.2308,32.0,49.1803,59.3904,5.8824,18.6441,28.473,9
