region,unit_name,unit_type,peer_group,population,migration_value,employment_rate,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,population_score,migration_score,employment_score,commuting_score,fiscal_score,urban_form_score,supplementary_score,total_score,final_grade
Seoul,마포구,autonomous_district,capital_districts,356966,5594,61.4,120.8,29.2,45.6,100,0.338,40.625,62.5,70.3704,74.1935,69.8554,50.0,87.0968,64.2065,5
Seoul,양천구,autonomous_district,capital_districts,423666,5454,59.9,82.1,23.2,42.1,100,0.26,68.75,59.375,51.8519,9.6774,51.6685,50.0,67.7419,48.6657,7
Seoul,강서구,autonomous_district,capital_districts,548985,6601,61.5,97.0,19.4,36.2,100,0.181,90.625,78.125,74.0741,51.6129,26.9188,50.0,41.9355,60.3721,5
Seoul,구로구,autonomous_district,capital_districts,382836,4081,62.2,103.5,19.6,41.4,100,0.16,53.125,34.375,88.8889,58.0645,43.159,50.0,38.7097,54.8406,6
Seoul,금천구,autonomous_district,capital_districts,222712,2427,59.9,128.6,21.6,43.0,100,0.14,15.625,12.5,51.8519,80.6452,51.446,50.0,29.0323,44.312,7
Seoul,영등포구,autonomous_district,capital_districts,371177,5779,65.6,142.8,34.3,46.9,100,0.272,43.75,65.625,100.0,90.3226,78.3648,50.0,80.6452,73.9933,4
Seoul,동작구,autonomous_district,capital_districts,372236,6028,61.0,88.6,28.2,48.4,100,0.261,46.875,68.75,62.963,29.0323,72.97,50.0,70.9677,55.6399,6
Seoul,관악구,autonomous_district,capital_districts,478468,8894,57.6,80.1,17.1,40.6,100,0.15,75.0,93.75,25.9259,3.2258,38.0979,50.0,35.4839,44.0447,7
Seoul,서초구,autonomous_district,capital_districts,415540,6121,58.5,140.2,52.6,55.0,100,0.396,59.375,71.875,33.3333,87.0968,93.3259,50.0,93.5484,67.6019,4
Seoul,강남구,autonomous_district,capital_districts,554165,9028,58.9,192.7,54.8,56.6,100,0.602,93.75,96.875,40.7407,93.5484,96.6629,50.0,96.7742,79.1343,3
Seoul,송파구,autonomous_district,capital_districts,650071,13353,61.8,100.4,32.8,39.3,100,0.267,96.875,100.0,85.1852,54.8387,52.3359,50.0,74.1935,73.0293,4
Seoul,강동구,autonomous_district,capital_districts,499795,7312,58.8,86.1,24.9,42.9,100,0.269,87.5,84.375,37.037,19.3548,55.0055,50.0,77.4194,55.1073,6
Incheon,중구,autonomous_district,capital_districts,177848,2480,64.5,136.0,42.1,48.0,100,0.058,9.375,15.625,96.2963,83.871,85.1502,50.0,3.2258,55.1092,6
Incheon,동구,autonomous_district,capital_districts,57603,1223,60.0,112.4,12.8,40.4,100,0.043,0.0,0.0,55.5556,67.7419,19.3548,50.0,0.0,31.9032,9
Incheon,미추홀구,autonomous_district,capital_districts,417486,4422,59.0,92.5,13.2,28.3,100,0.062,62.5,40.625,44.4444,35.4839,3.3371,50.0,6.4516,36.8079,8
Incheon,연수구,autonomous_district,capital_districts,410050,5349,61.1,92.8,29.9,37.7,100,0.064,56.25,56.25,66.6667,38.7097,47.386,50.0,9.6774,49.126,7
Incheon,남동구,autonomous_district,capital_districts,479700,4237,60.5,92.9,16.8,28.2,100,0.09,78.125,37.5,59.2593,41.9355,12.0689,50.0,19.3548,44.6406,7
Incheon,부평구,autonomous_district,capital_districts,489390,4005,60.5,88.3,15.7,28.6,100,0.072,84.375,31.25,59.2593,25.8065,11.8465,50.0,12.9032,41.1901,8
Incheon,계양구,autonomous_district,capital_districts,277157,2152,61.7,85.3,14.6,33.7,100,0.077,21.875,6.25,81.4815,16.129,8.287,50.0,16.129,30.9579,9
Incheon,서구,autonomous_district,capital_districts,657709,7760,64.3,93.7,27.5,34.2,100,0.117,100.0,87.5,92.5926,48.3871,35.7619,50.0,22.5806,65.4395,5
Incheon,강화군,county,capital_counties,69615,623,66.3,101.2,12.0,53.7,31.55,0.038,75.0,75.0,75.0,25.0,25.0,50.0,25.0,51.5,6
Incheon,옹진군,county,capital_counties,19425,230,79.0,107.4,10.1,50.5,0,0.036,0.0,0.0,100.0,100.0,0.0,0.0,0.0,36.0,8
Gyeonggi,수원시,city,gyeonggi_cities,1186167,16100,62.8,91.3,42.9,52.8,100,0.191,100.0,100.0,60.0,41.6667,58.1818,100.0,50.0,72.4455,4
Gyeonggi,성남시,city,gyeonggi_cities,905493,12959,59.6,104.3,53.7,60.7,100,0.305,85.1852,88.8889,16.0,70.8333,100.0,100.0,96.1538,75.6927,3
Gyeonggi,의정부시,city,gyeonggi_cities,461460,4271,59.0,83.5,22.1,46.0,100,0.102,51.8519,48.1481,12.0,0.0,6.0,100.0,11.5385,31.9231,9
Gyeonggi,안양시,city,gyeonggi_cities,562666,6557,62.5,94.8,35.8,51.4,100,0.217,66.6667,66.6667,52.0,54.1667,43.3636,100.0,65.3846,63.0784,5
Gyeonggi,부천시,city,gyeonggi_cities,756701,6643,58.6,90.2,28.1,48.0,100,0.194,81.4815,70.3704,8.0,37.5,16.2727,100.0,53.8462,50.0351,6
Gyeonggi,광명시,city,gyeonggi_cities,302390,7329,60.5,84.5,35.9,57.5,100,0.275,40.7407,77.7778,28.0,4.1667,72.6363,100.0,92.3077,53.9363,6
Gyeonggi,평택시,city,gyeonggi_cities,615107,8758,64.7,107.3,41.6,55.3,93.5,0.092,74.0741,81.4815,92.0,83.3333,67.5455,66.6667,3.8462,72.4352,4
Gyeonggi,동두천시,city,gyeonggi_cities,86326,735,56.0,92.7,12.6,49.2,100,0.041,3.7037,0.0,0.0,45.8333,4.5454,100.0,0.0,23.4049,9
Gyeonggi,안산시,city,gyeonggi_cities,610783,5545,62.6,98.0,34.2,56.7,100,0.221,70.3704,59.2593,56.0,62.5,59.8182,100.0,69.2308,67.3912,4
Gyeonggi,고양시,city,gyeonggi_cities,1058050,11130,59.9,86.3,32.3,51.1,100,0.149,92.5926,85.1852,20.0,12.5,31.0909,100.0,30.7692,51.5532,6
Gyeonggi,과천시,city,gyeonggi_cities,80197,1116,60.0,110.2,41.6,59.1,100,0.37,0.0,7.4074,24.0,91.6667,83.4545,100.0,100.0,55.5407,6
Gyeonggi,구리시,city,gyeonggi_cities,185982,1729,62.0,87.5,27.1,56.7,100,0.16,18.5185,14.8148,40.0,20.8333,41.8182,100.0,38.4615,38.5481,8
Gyeonggi,남양주시,city,gyeonggi_cities,728597,6168,60.0,85.8,28.0,52.0,95.85,0.184,77.7778,62.963,24.0,8.3333,27.9091,83.3333,46.1538,44.7899,7
Gyeonggi,오산시,city,gyeonggi_cities,250783,3001,63.1,86.5,34.8,55.2,100,0.217,33.3333,37.037,64.0,16.6667,57.2728,100.0,65.3846,51.6208,6
Gyeonggi,시흥시,city,gyeonggi_cities,514501,4546,63.6,95.7,34.1,49.8,100,0.231,59.2593,51.8519,76.0,58.3333,32.8182,100.0,76.9231,64.484,5
Gyeonggi,군포시,city,gyeonggi_cities,250300,2285,60.9,86.3,28.6,53.0,100,0.214,29.6296,25.9259,32.0,12.5,38.4545,100.0,61.5385,40.0945,8
Gyeonggi,의왕시,city,gyeonggi_cities,162209,1938,63.4,85.8,37.8,57.4,100,0.225,14.8148,18.5185,72.0,8.3333,72.3637,100.0,73.0769,49.1037,7
Gyeonggi,하남시,city,gyeonggi_cities,327824,4115,63.9,87.7,43.2,53.5,100,0.244,44.4444,44.4444,84.0,25.0,64.7272,100.0,80.7692,61.5878,5
Gyeonggi,용인시,city,gyeonggi_cities,1090420,14832,58.4,90.0,47.9,57.2,96.74,0.268,96.2963,96.2963,4.0,33.3333,80.0909,91.6667,88.4615,64.8059,5
Gyeonggi,파주시,city,gyeonggi_cities,530201,6972,62.1,98.8,28.5,51.1,91.77,0.15,62.963,74.0741,44.0,66.6667,25.0909,41.6667,34.6154,51.2205,6
Gyeonggi,이천시,city,gyeonggi_cities,223229,2806,66.1,114.6,45.4,57.2,67.11,0.137,25.9259,29.6296,96.0,95.8333,78.0909,16.6667,26.9231,57.7277,6
Gyeonggi,안성시,city,gyeonggi_cities,197266,2218,62.4,109.4,28.5,58.1,66.44,0.094,22.2222,22.2222,48.0,87.5,56.9091,8.3333,7.6923,40.3615,8
Gyeonggi,김포시,city,gyeonggi_cities,484334,4736,61.1,94.1,33.4,53.0,95.43,0.165,55.5556,55.5556,36.0,50.0,44.4545,75.0,42.3077,51.1438,6
Gyeonggi,화성시,city,gyeonggi_cities,995253,14635,67.1,106.7,52.0,59.4,92.44,0.26,88.8889,92.5926,100.0,79.1667,95.7272,50.0,84.6154,84.8285,2
Gyeonggi,광주시,city,gyeonggi_cities,397166,3290,63.2,87.8,31.7,51.9,92.89,0.196,48.1481,40.7407,68.0,29.1667,33.6364,58.3333,57.6923,47.4256,7
Gyeonggi,양주시,city,gyeonggi_cities,296830,2925,59.6,98.8,26.5,54.0,88.26,0.109,37.037,33.3333,16.0,66.6667,33.0,33.3333,19.2308,35.557,8
Gyeonggi,포천시,city,gyeonggi_cities,140428,1124,64.1,122.8,19.6,52.8,53.65,0.104,11.1111,11.1111,88.0,100.0,20.1818,0.0,15.3846,41.0073,8
Gyeonggi,여주시,city,gyeonggi_cities,113621,982,63.8,105.1,21.1,58.3,68.4,0.115,7.4074,3.7037,80.0,75.0,47.1818,25.0,23.0769,41.4072,8
Gyeonggi,연천군,county,capital_counties,42684,449,59.4,106.4,15.3,65.0,62.36,0.071,25.0,25.0,0.0,75.0,75.0,100.0,50.0,49.0,7
Gyeonggi,가평군,county,capital_counties,61963,551,62.3,105.7,17.1,57.7,34.04,0.082,50.0,50.0,50.0,50.0,62.5,75.0,75.0,57.25,6
Gyeonggi,양평군,county,capital_counties,126742,1058,59.7,95.0,17.3,60.0,29.72,0.087,100.0,100.0,25.0,0.0,87.5,25.0,100.0,56.25,6
