volume	idx	title	stored_filename	original_filename	bytes	source_url	download_status
13	378681	제13권 성남시 선거와 지방자치 30년	seongnam-history-50-vol-13.pdf	제13권 성남시 선거와 지방자치 30년.pdf	7049978	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378681	downloaded
14	378680	제14권 성남시 자치행정과 지방재정	seongnam-history-50-vol-14.pdf	제14권 성남시 자치행정과 지방재정.pdf	12963655	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378680	downloaded
15	378679	제15권 성남 지역 시민운동과 참여 자치	seongnam-history-50-vol-15.pdf	제15권 성남 지역 시민운동과 참여 자치.pdf	11288807	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378679	downloaded
16	378678	제16권 성남시 경제와 산업	seongnam-history-50-vol-16.pdf	제16권 성남시 경제와 산업.pdf	11361610	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378678	downloaded
17	378677	제17권 성남의 산업구조	seongnam-history-50-vol-17.pdf	제17권 성남의 산업구조.pdf	11597651	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378677	downloaded
18	378676	제18권 성남의 산업단지와 기업체	seongnam-history-50-vol-18.pdf	제18권 성남의 산업단지와 기업체.pdf	4238103	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378676	downloaded
19	378675	제19권 성남 교육의 역사와 학교 교육	seongnam-history-50-vol-19.pdf	제19권 성남 교육의 역사와 학교 교육.pdf	6434450	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378675	downloaded
20	378673	제20권 성남시 청소년의 삶과 문화	seongnam-history-50-vol-20.pdf	제20권 성남시 청소년의 삶과 문화.pdf	5608987	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378673	downloaded
21	378672	제21권 평생교육과 성남	seongnam-history-50-vol-21.pdf	제21권 평생교육과 성남.pdf	6696603	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378672	downloaded
22	378671	제22권 성남의 문화와 예술	seongnam-history-50-vol-22.pdf	제22권 성남의 문화와 예술.pdf	18367626	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378671	downloaded
